"무인교통단속카메라관리번호",시도명,시군구명,도로종류,도로노선번호,도로노선명,도로노선방향,소재지도로명주소,소재지지번주소,위도,경도,설치장소,단속구분,제한속도,단속구간위치구분,과속단속구간길이,보호구역구분,설치연도,관리기관명,관리기관전화번호,데이터기준일자
1,충청남도,청양군,군도,,중앙로,1,충청남도 청양군 청양읍 중앙로 139-2,충청남도 청양군 청양읍 읍내리 209-12,36.4519,126.8029816,시외버스터미널 앞,4,0,,,,2015,충청남도 청양군청,041-940-2426,2022-11-30
2,충청남도,청양군,군도,,칠갑산로,2,충청남도 청양군 청양읍 칠갑산로 225,충청남도 청양군 청양읍 읍내리 196-1,36.45122113,126.80163,문화체육센터 앞,4,0,,,,2015,충청남도 청양군청,041-940-2426,2022-11-30
3,충청남도,청양군,군도,,중앙로,1,충청남도 청양군 청양읍 칠갑산로 243,충청남도 청양군 청양읍 읍내리 203-31,36.4510172,126.8034708,삼성의원 앞,4,0,,,,2015,충청남도 청양군청,041-940-2426,2022-11-30
4,충청남도,청양군,군도,,중앙로,2,충청남도 청양군 청양읍 중앙로 123,충청남도 청양군 청양읍 읍내리 180-18,36.4506,126.8027815,새마을금고 앞,4,0,,,,2015,충청남도 청양군청,041-940-2426,2022-11-30
5,충청남도,청양군,군도,,칠갑산로,3,충청남도 청양군 청양읍 칠갑산로7길 39,충청남도 청양군 청양읍 읍내리 240-22,36.45426055,126.8046656,청양초 후문,4,30,,,2,2020,충청남도 청양군청,041-940-2426,2022-11-30
6,충청남도,청양군,군도,,칠갑산로,3,충청남도 청양군 청양읍 칠갑산로9길 21,충청남도 청양군 청양읍 읍내리 124,36.45258379,126.8058982,청양초 정문,4,30,,,2,2020,충청남도 청양군청,041-940-2426,2022-11-30
7,충청남도,청양군,군도,,중앙로,3,충청남도 청양군 청양읍 중앙로12길 16,충청남도 청양군 청양읍 읍내리 134-1,36.4525598,126.8050411,군농협 사거리,4,30,,,2,2021,충청남도 청양군청,041-940-2426,2022-11-30
