"무인교통단속카메라관리번호",시도명,시군구명,도로종류,도로노선번호,도로노선명,도로노선방향,소재지도로명주소,소재지지번주소,위도,경도,설치장소,단속구분,제한속도,단속구간위치구분,과속단속구간길이,보호구역구분,설치연도,관리기관명,관리기관전화번호,데이터기준일자
F9473,대전광역시,서구,시도,,벌곡로,01,,대전광역시 서구 평촌동 173-1,36.23923600,127.31829800,평촌마을회관 앞,01,50,,,01,2016,대전광역시,042-120,2022-12-15
F9474,대전광역시,중구,시도,,대둔산로,02,,대전광역시 중구 안영동 366-2,36.28238100,127.37606600,안영IC 앞,01,70,,,,2016,대전광역시,042-120,2022-12-15
F9475,대전광역시,서구,시도,,벌곡로,01,,대전광역시 서구 괴곡동 889,36.27598500,127.34815200,상보안교 전,01,60,,,,2016,대전광역시,042-120,2022-12-15
F9480,대전광역시,서구,시도,,한밭대로,01,,대전광역시 서구 월평동 301,36.35797100,127.37410100,갈마공원네거리,02,50,,,,2016,대전광역시,042-120,2022-12-15
F9481,대전광역시,유성구,시도,,유성대로,02,,대전광역시 유성구 신성동 223-25,36.39171100,127.34817700,신성주민센터입구 삼거리,02,60,,,,2016,대전광역시,042-120,2022-12-15
F9482,대전광역시,유성구,시도,,유성대로,01,,대전광역시 유성구 죽동 704-10,36.37117400,127.34023700,충대서문네거리,02,60,,,,2016,대전광역시,042-120,2022-12-15
F9483,대전광역시,유성구,시도,,북유성대로,01,,대전광역시 유성구 지족동 1004,36.38686400,127.31800500,반석네거리,02,60,,,,2016,대전광역시,042-120,2022-12-15
G0221,대전광역시,유성구,시도,,한밭대로,01,,대전광역시 유성구 장대동 17-1,36.36670300,127.33230600,죽동네거리,02,50,,,,2017,대전광역시,042-120,2022-12-15
G0503,대전광역시,서구,시도,,대전로,01,,대전광역시 서구 흑석동 110-3,36.27130100,127.34590400,상보안교 후,01,60,,,,2017,대전광역시,042-120,2022-12-15
G0510,대전광역시,유성구,시도,,대학로,02,,대전광역시 유성구 구성동 275-1,36.36534700,127.36403400,카이스트 앞 삼거리,02,50,,,,2017,대전광역시,042-120,2022-12-15
G0512,대전광역시,유성구,시도,,월드컵대로,02,,대전광역시 유성구 봉명동 1019-8,36.34866200,127.34802600,계룡대교네거리,02,50,,,,2017,대전광역시,042-120,2022-12-15
G1689,대전광역시,동구,시도,,대둔산로,01,,대전광역시 중구 사정동 419,36.29884600,127.38486700,산성초교삼거리,02,30,,,02,2018,대전광역시,042-120,2022-12-15
G1692,대전광역시,중구,시도,,태평로,01,,대전광역시 중구 태평2동 422-32,36.31815600,127.39181100,버드내초교삼거리,02,30,,,02,2018,대전광역시,042-120,2022-12-15
G1694,대전광역시,중구,시도,,유천로,02,,대전광역시 중구 태평2동 385-10,36.32219200,127.39617400,태평초교네거리,02,30,,,02,2018,대전광역시,042-120,2022-12-15
G1697,대전광역시,서구,시도,,벌곡로,02,,대전광역시 서구 가수원동 474,36.30273100,127.35418100,가수원초교삼거리,02,30,,,02,2018,대전광역시,042-120,2022-12-15
G1698,대전광역시,서구,시도,,구봉로,02,,대전광역시 서구 관저동 1152,36.29625100,127.33488800,선암초교네거리,02,30,,,02,2018,대전광역시,042-120,2022-12-15
G1699,대전광역시,서구,시도,,관저로,02,,대전광역시 서구 관저동 1133,36.29880300,127.32958100,구봉초교네거리,02,30,,,02,2018,대전광역시,042-120,2022-12-15
G1700,대전광역시,서구,시도,,동서대로,02,,대전광역시 서구 내동 13-1,36.33037300,127.37832800,내동초교삼거리,02,30,,,02,2018,대전광역시,042-120,2022-12-15
G1701,대전광역시,서구,시도,,복수동로,01,,대전광역시 서구 복수동 452,36.30083100,127.37881400,신계초교네거리,02,30,,,02,2018,대전광역시,042-120,2022-12-15
G1704,대전광역시,서구,시도,,갑천도시고속도로,02,,대전광역시 서구 월평동 314,36.35607200,127.35681100,월평초교삼거리,02,60,,,,2018,대전광역시,042-120,2022-12-15
G1706,대전광역시,서구,시도,,갑천도시고속도로,01,,대전광역시 서구 만년동 8,36.36819400,127.37325100,둔천초교삼거리,02,60,,,,2018,대전광역시,042-120,2022-12-15
G1707,대전광역시,서구,시도,,갈마역로,01,,대전광역시 서구 월평동 221,36.36230900,127.37445300,한아름네거리,02,30,,,02,2018,대전광역시,042-120,2022-12-15
G1708,대전광역시,유성구,시도,,문화원로,02,,대전광역시 유성구 장대동 348,36.36107500,127.33849200,장대초교네거리,02,30,,,02,2018,대전광역시,042-120,2022-12-15
G1709,대전광역시,유성구,시도,,노은로,01,,대전광역시 유성구 지족동 850,36.37971800,127.31768300,지족초교네거리,02,30,,,02,2018,대전광역시,042-120,2022-12-15
G1710,대전광역시,유성구,시도,,원신흥남로,02,,대전광역시 유성구 원신흥동 555,36.33358500,127.33834300,흥도초교네거리,02,30,,,02,2018,대전광역시,042-120,2022-12-15
G1711,대전광역시,유성구,시도,,과학로,03,,대전광역시 유성구 신성동 8-6,36.38267600,127.35502500,사이언스어린이집 앞,02,30,,,02,2018,대전광역시,042-120,2022-12-15
G1867,대전광역시,서구,시도,,벌곡로,01,,대전광역시 서구 흑석동 847,36.25451400,127.34028300,흑석네거리,01,60,,,01,2018,대전광역시,042-120,2022-12-15
G1868,대전광역시,서구,시도,,신갈마로,02,,대전광역시 서구 갈마동 410-2,36.34082400,127.36668100,갈마도서관 앞,01,50,,,,2018,대전광역시,042-120,2022-12-15
G1869,대전광역시,유성구,시도,,계백로,01,,대전광역시 유성구 방동 666-3,36.27074300,127.27345300,두계2교 삼거리,01,70,,,,2018,대전광역시,042-120,2022-12-15
G1873,대전광역시,유성구,시도,,계백로,01,,대전광역시 유성구 방동 산20-9,36.28496200,127.31063400,방동저수지 전 삼거리,02,60,,,,2018,대전광역시,042-120,2022-12-15
G1874,대전광역시,유성구,시도,,대덕대로,02,,대전광역시 유성구 관평동 1344,36.42850900,127.38631500,미래로네거리,02,50,,,,2018,대전광역시,042-120,2022-12-15
